"Product Title","Product Description","Product UID","Print File URL","Should Publish Images?"
"SHERO — Purple — Fine Art Print","The SHERO print in deep purple — Stine Weirsøe Flamant's feminist pop-art icon. Bold lettering and graphic energy on transparent ground.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/shero/SHERO%20%E2%80%94%20Purple.png","Yes"
"SHERO — Indigo — Fine Art Print","SHERO in indigo — a cool, dark take on Stine Weirsøe Flamant's SHERO series. Feminist art with graphic punch.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/shero/SHERO%20%E2%80%94%20Indigo.png","Yes"
"SHERO — III — Fine Art Print","Third print in the SHERO series by Stine Weirsøe Flamant. Layered colour, strong graphic composition, feminist energy.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/shero/SHERO%20%E2%80%94%20III.png","Yes"
"Mask Study — Fine Art Print","A looser, more exploratory mask drawing. Stine Weirsøe Flamant's Procreate sketch work at its most raw and immediate.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/masks/Mask%20Study.png","Yes"
"Sri Lanka Masks — Fine Art Print","Inspired by Sri Lankan ceremonial masks, this painting captures their vivid theatricality. Oil on board by Stine Weirsøe Flamant.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/masks/Sri%20Lanka%20Masks.jpg","Yes"
"Sea Monsters — Blue — Fine Art Print","Sea Monsters in deep ocean blue — Stine Weirsøe Flamant's quirky underwater world in landscape format.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/patterns/Sea%20Monsters%20%E2%80%94%20Blue.png","Yes"
"Colour Exploration I — Fine Art Print","First in a series of pure colour studies — Stine Weirsøe Flamant working through a botanical palette in Procreate.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/botanical/Colour_Exploration%201.png","Yes"
"Colour Exploration II — Fine Art Print","Second colour study from Stine Weirsøe Flamant's botanical Procreate series — layered, lush, experimental.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/botanical/Colour_Exploration%202.png","Yes"
"Colour Exploration III — Fine Art Print","Third colour study from Stine Weirsøe Flamant's botanical Procreate series.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/botanical/Colour_Exploration%203.png","Yes"
"Style Exploration — Fine Art Print","An exploratory Procreate work by Stine Weirsøe Flamant — loose mark-making and colour testing from the studio.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/botanical/Style_Exploration.png","Yes"
"Two Cats — Fine Art Print","Two cats — one frame, twice the personality. Digital Procreate work by Stine Weirsøe Flamant.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/animals/Two%20Cats.png","Yes"
"Elephant — Green — Fine Art Print","Graphic elephant illustration in forest green — part of Stine Weirsøe Flamant's elephant series. Bold, warm, and full of character.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/elephants/Elephant%20%E2%80%94%20Green.png","Yes"
"Elephant — Yellow — Fine Art Print","Elephant in sunny yellow — Stine Weirsøe Flamant's cheerful illustration series in landscape format.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/elephants/Elephant%20%E2%80%94%20Yellow.png","Yes"
"Elephant — Lilac — Fine Art Print","A dreamy lilac elephant — Stine Weirsøe Flamant's graphic illustration series at its most gentle.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/elephants/Elephant%20%E2%80%94%20Lilac.png","Yes"
"Elephant — Red — Fine Art Print","Bold red elephant — the warmest, most assertive piece in Stine Weirsøe Flamant's elephant illustration series.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/elephants/Elephant%20%E2%80%94%20Red.png","Yes"
"Tourism — I — Fine Art Print","First in the Tourism series — landscape photography by Stine Weirsøe Flamant, printed on archival paper. Travel reduced to its essential image.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/tourism/Tourism%20%E2%80%94%20I.jpg","Yes"
"Tourism — III — Fine Art Print","Third Tourism photograph by Stine Weirsøe Flamant — quiet observation of place and light.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/tourism/Tourism%20%E2%80%94%20III.jpg","Yes"
"Tourism — IV — Fine Art Print","Fourth and final piece in the Tourism series by Stine Weirsøe Flamant. Landscape, light, stillness.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/tourism/Tourism%20%E2%80%94%20IV.jpg","Yes"
"Blue Flower on Green Wood — Fine Art Print","A single blue flower against textured green wood — Stine Weirsøe Flamant's close attention to the ordinary made extraordinary.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/flowers/Blue%20Flower%20on%20Green%20Wood.png","Yes"
"Dead Flowers — Fine Art Print","Dried flowers, still beautiful — Stine Weirsøe Flamant's photograph of decay and persistence. Quiet still life.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/flowers/Dead%20Flowers.png","Yes"
"Flowers on Linen — Fine Art Print","Flowers arranged on raw linen — soft, Nordic, considered. Photography by Stine Weirsøe Flamant.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/flowers/Flowers%20on%20Linen.png","Yes"
"No Ordinary Stone — Fine Art Print","A stone that refuses to be unremarkable — Stine Weirsøe Flamant's photographic eye finds form and colour in the overlooked.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/flowers/No%20Ordinary%20Stone.png","Yes"
"On the Light Table — Fine Art Print","Objects on a light table — transparency, glow, and the quiet curiosity of Stine Weirsøe Flamant's studio photography.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/flowers/On%20the%20Light%20Table.png","Yes"
"Purple Flower — Fine Art Print","A purple flower, close — Stine Weirsøe Flamant's photograph at the edge of abstraction. Colour first, subject second.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/flowers/Purple%20Flower.png","Yes"
"Red and Green Moss — Fine Art Print","Moss in two colours — Stine Weirsøe Flamant's nature photography, finding graphic composition in organic texture.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/flowers/Red%20and%20Green%20Moss.png","Yes"
"Vase on Stool — Fine Art Print","Still life with a vase on a stool — classic subject, contemporary eye. Photography by Stine Weirsøe Flamant.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/flowers/Vase%20on%20Stool.png","Yes"
"Taped Objects — Fine Art Print","A collection of everyday objects, taped and arranged — Stine Weirsøe Flamant's playful still life photography.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/various/Taped%20Objects.png","Yes"
"Purple Sun — Fine Art Print","Hand-tufted sun in deep purple — Stine Weirsøe Flamant's textile art photographed as a fine art print. Original wall piece.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/tufting/Purple%20Sun.jpg","Yes"
"Candy I — Fine Art Print","Candy-coloured tufted textile work by Stine Weirsøe Flamant — joyful, handmade, printed as a high-quality art print.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/tufting/Candy%20I.jpg","Yes"
"Orange Sun — Fine Art Print","A tufted sun in warm orange — Stine Weirsøe Flamant's handmade textile art documented as a fine art print.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/tufting/Orange%20Sun.jpg","Yes"
"Rainbow II — Fine Art Print","Second rainbow tufting — Stine Weirsøe Flamant's hand-tufted textile arch in full spectrum colour.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/tufting/Rainbow%20II.png","Yes"
"Round Earth — Fine Art Print","A tufted round earth — Stine Weirsøe Flamant's circular textile form, printed as a fine art photograph of the original work.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/tufting/Round%20Earth.jpg","Yes"
"Floral Thing — Fine Art Print","A tufted floral textile piece by Stine Weirsøe Flamant — small format, dense texture, handmade.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/tufting/Floral%20Thing.jpg","Yes"
"Sitspot Large — Fine Art Print","Large tufted sitting spot by Stine Weirsøe Flamant — a functional textile object photographed as art.","fine_arts_poster_geo_simplified_product_12-0_hor_a4-8x12-inch_200-gsm-80lb-enhanced-uncoated","https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/tufting/Sitspot%20Large.png","Yes"
